4999.928100, 12500000, m, master
4998.686600, 12491792, m, slave
0.317500, 6250, m, slave
0.324300, 6250, m, master
2927.802100, 6241792, m, slave
2928.135100, 6250000, m, master
4081.694400, 13414400, m, slave
4082.363100, 13414400, m, master
10.223200, 125000, m, master
11.668100, 125000, m, slave
32.835300, 625000, m, slave
33.067800, 625000, m, master
0.178400, 125, m, slave
0.183800, 125, m, master
1.338900, 12500, m, slave
1.368500, 12500, m, master
0.128900, 625, m, master
0.059600, 625, m, slave
0.347200, 1250, m, slave
0.064600, 1250, m, master
2.814600, 62500, m, slave
2.828700, 62500, m, master
