50.167900, 1250000, m, slave
50.689300, 1250000, m, master
2.214500, 6250, m, master
0.421100, 6250, m, slave
2025.968900, 6250000, m, slave
2026.865300, 6250000, m, master
4970.519500, 13414400, m, slave
4970.997700, 13414400, m, master
10.157200, 125000, m, master
10.172800, 125000, m, slave
17.939000, 625000, m, slave
18.592800, 625000, m, master
0.127100, 125, m, slave
0.177700, 125, m, master
0.211000, 12500, m, master
0.351000, 12500, m, slave
0.033300, 625, m, master
0.181100, 625, m, slave
0.133000, 1250, m, slave
0.186400, 1250, m, master
2.973500, 62500, m, slave
3.034100, 62500, m, master
