42.213800, 1250000, m, slave
42.835600, 1250000, m, master
4030.439800, 12500000, m, master
4029.432200, 12500000, m, slave
0.490700, 6250, m, slave
0.290600, 6250, m, master
2003.402500, 6250000, m, master
2002.523500, 6250000, m, slave
2978.571900, 13414400, m, master
2978.648700, 13406192, m, slave
7.261600, 125000, m, master
7.392200, 125000, m, slave
923.536800, 625000, m, slave
923.758700, 625000, m, master
0.124800, 125, m, master
0.188900, 125, m, slave
0.212300, 12500, m, master
0.272100, 12500, m, slave
0.149200, 625, m, master
0.241300, 625, m, slave
0.200600, 1250, m, slave
0.299500, 1250, m, master
3.069600, 62500, m, slave
3.195200, 62500, m, master
