46.786800, 1241792, m, slave
47.021800, 1250000, m, master
4944.449100, 12500000, m, master
4943.420900, 12491792, m, slave
6.377500, 6250, m, master
6.467900, 6250, m, slave
2013.029400, 6250000, m, master
2012.151600, 6241792, m, slave
4056.246600, 13414400, m, master
4056.495200, 13414400, m, slave
905.147400, 125000, m, master
905.178500, 125000, m, slave
21.904200, 625000, m, slave
22.112900, 625000, m, master
0.104400, 125, m, master
0.156100, 125, m, slave
0.109900, 12500, m, master
0.482500, 12500, m, slave
0.033400, 625, m, master
0.180900, 625, m, slave
0.131800, 1250, m, slave
0.213700, 1250, m, master
2.718900, 62500, m, slave
2.702400, 62500, m, master
