941.519700, 1241792, m, slave
941.904500, 1250000, m, master
4040.095900, 12500000, m, master
4039.200400, 12500000, m, slave
0.175400, 6250, m, master
0.241700, 6250, m, slave
2954.322200, 6250000, m, master
2953.279100, 6250000, m, slave
4063.469700, 13414400, m, master
4061.860900, 13414400, m, slave
904.544300, 125000, m, slave
904.987900, 125000, m, master
22.921000, 625000, m, slave
23.455100, 625000, m, master
0.088300, 125, m, master
0.141000, 125, m, slave
0.120600, 12500, m, master
0.388200, 12500, m, slave
0.119200, 625, m, master
0.196400, 625, m, slave
0.113500, 1250, m, master
0.142000, 1250, m, slave
3.861100, 62500, m, master
24.543100, 62500, m, slave
