951.015900, 1250000, m, master
950.990700, 1241792, m, slave
0.555500, 6250, m, slave
0.407200, 6250, m, master
2918.785400, 6250000, m, master
2917.584300, 6250000, m, slave
4050.318800, 13414400, m, master
4050.250600, 13414400, m, slave
5.351600, 125000, m, slave
5.377600, 125000, m, master
926.217300, 625000, m, slave
926.486500, 625000, m, master
0.128000, 125, m, slave
0.232600, 125, m, master
0.179100, 12500, m, master
0.244300, 12500, m, slave
0.029500, 625, m, master
0.221200, 625, m, slave
0.138300, 1250, m, slave
0.144500, 1250, m, master
1.844700, 62500, m, slave
1.933400, 62500, m, master
