45.112200, 1250000, m, slave
45.597900, 1250000, m, master
4013.887800, 12500000, m, master
4013.323800, 12500000, m, slave
0.533400, 6250, m, slave
0.563400, 6250, m, master
2023.589300, 6250000, m, master
2023.028600, 6250000, m, slave
6.991000, 125000, m, master
7.375400, 125000, m, slave
924.110600, 625000, m, slave
924.813000, 625000, m, master
0.093600, 125, m, master
0.125900, 125, m, slave
0.400900, 12500, m, slave
0.130800, 12500, m, master
0.145900, 625, m, master
0.051000, 625, m, slave
0.142100, 1250, m, master
0.216600, 1250, m, slave
3.450700, 62500, m, master
3.531300, 62500, m, slave
